index,commission,entrust_action,entrust_no,fill_date,fill_no,fill_price,fill_size,fill_time,symbol,task_id
0,3.8752,Buy,1,20160727,1,6.92,2800.0,0,601989.SH,201607270001
1,3.706,Buy,2,20160727,2,37.06,500.0,0,600893.SH,201607270002
2,3.8920000000000003,Buy,3,20160727,3,13.9,1400.0,0,600109.SH,201607270003
3,3.7776,Buy,4,20160727,4,15.74,1200.0,0,600000.SH,201607270004
4,3.8952,Buy,5,20160727,5,10.82,1800.0,0,601800.SH,201607270005
5,3.9848000000000003,Buy,6,20160727,6,5.86,3400.0,0,601669.SH,201607270006
6,3.664,Buy,7,20160727,7,18.32,1000.0,0,601211.SH,201607270007
7,3.9408000000000007,Buy,8,20160727,8,16.42,1200.0,0,600585.SH,201607270008
8,3.8824,Buy,9,20160727,9,8.44,2300.0,0,601169.SH,201607270009
9,3.8012,Buy,10,20160727,10,14.62,1300.0,0,600111.SH,201607270010
10,3.9312,Buy,11,20160727,11,8.19,2400.0,0,600029.SH,201607270011
11,3.718,Buy,12,20160727,12,18.59,1000.0,0,600309.SH,201607270012
12,3.902400000000001,Buy,13,20160727,13,32.52,600.0,0,601318.SH,201607270013
13,3.8532,Buy,14,20160727,14,10.14,1900.0,0,600606.SH,201607270014
14,3.7920000000000003,Buy,15,20160727,15,18.96,1000.0,0,600485.SH,201607270015
15,3.9408000000000007,Sell,1,20160802,1,8.21,2400.0,0,600029.SH,201608020016
16,3.7920000000000003,Sell,2,20160802,2,15.8,1200.0,0,600000.SH,201608020017
17,3.472,Sell,3,20160802,3,34.72,500.0,0,600893.SH,201608020018
18,3.584,Sell,4,20160802,4,12.8,1400.0,0,600109.SH,201608020019
19,3.8736,Sell,5,20160802,5,32.28,600.0,0,601318.SH,201608020020
20,3.684,Sell,6,20160802,6,18.42,1000.0,0,600309.SH,201608020021
21,3.8472000000000004,Sell,7,20160802,7,16.03,1200.0,0,600585.SH,201608020022
22,3.3400000000000003,Sell,8,20160802,8,16.7,1000.0,0,600485.SH,201608020023
23,3.8686000000000003,Sell,9,20160802,9,8.41,2300.0,0,601169.SH,201608020024
24,3.3782,Sell,10,20160802,10,8.89,1900.0,0,600606.SH,201608020025
25,3.498,Sell,11,20160802,11,17.49,1000.0,0,601211.SH,201608020026
26,3.9304,Sell,12,20160802,12,5.78,3400.0,0,601669.SH,201608020027
27,3.8268,Sell,13,20160802,13,10.63,1800.0,0,601800.SH,201608020028
28,3.6344000000000003,Sell,14,20160802,14,6.49,2800.0,0,601989.SH,201608020029
29,3.4216,Sell,15,20160802,15,13.16,1300.0,0,600111.SH,201608020030
30,3.7922000000000002,Buy,2,20160803,1,2.83,6700.0,0,600010.SH,201608030032
31,3.8304,Buy,3,20160803,2,3.36,5700.0,0,601988.SH,201608030033
32,3.7362,Buy,4,20160803,3,4.79,3900.0,0,600028.SH,201608030034
33,3.6144000000000003,Buy,5,20160803,4,15.06,1200.0,0,601088.SH,201608030035
34,3.7312000000000003,Buy,6,20160803,5,23.32,800.0,0,600637.SH,201608030036
35,3.8280000000000003,Buy,7,20160803,6,15.95,1200.0,0,600585.SH,201608030037
36,3.7076000000000002,Buy,8,20160803,7,7.13,2600.0,0,601901.SH,201608030038
37,3.7608,Buy,9,20160803,8,15.67,1200.0,0,600100.SH,201608030039
38,3.5442,Buy,10,20160803,9,19.69,900.0,0,600309.SH,201608030040
39,3.6982000000000004,Buy,11,20160803,10,16.81,1100.0,0,600485.SH,201608030041
40,3.52,Buy,12,20160803,11,17.6,1000.0,0,601211.SH,201608030042
41,3.8112000000000004,Buy,13,20160803,12,7.94,2400.0,0,601727.SH,201608030043
42,3.68,Buy,14,20160803,13,9.2,2000.0,0,600016.SH,201608030044
43,3.6454,Buy,15,20160803,14,16.57,1100.0,0,600999.SH,201608030045
44,5.559,Buy,1,20160804,1,5.45,5100.0,0,600018.SH,201608040046
45,3.7674000000000003,Sell,1,20160809,1,4.83,3900.0,0,600028.SH,201608090047
46,3.5172000000000003,Sell,2,20160809,2,19.54,900.0,0,600309.SH,201608090048
47,3.722400000000001,Sell,3,20160809,3,16.92,1100.0,0,600485.SH,201608090049
