index,commission,entrust_action,entrust_no,fill_date,fill_no,fill_price,fill_size,fill_time,symbol,task_id,trade_date,,holding,left,
0,0,Buy,4,20180530,1,6.2,479,0,601985.SH,2.01805E+11,20180530,2969.8,,,
1,0,Buy,2,20180530,2,10.2,289,0,600029.SH,2.01805E+11,20180530,2947.8,,,
2,0,Buy,1,20180530,3,8.48,350,0,600019.SH,2.01805E+11,20180530,2968,,,
3,0,Buy,3,20180530,4,15.98,186,0,601166.SH,2.01805E+11,20180530,2972.28,,,
4,0,Buy,3,20180531,1,7.01,427,0,603993.SH,2.01805E+11,20180531,2993.27,,,
5,0,Buy,4,20180601,1,33.27,90,0,601601.SH,2.01806E+11,20180601,2994.3,,,
6,0,Buy,2,20180601,2,28.35,105,0,600547.SH,2.01806E+11,20180601,2976.75,,,
7,0,Buy,1,20180601,3,36.25,82,0,600104.SH,2.01806E+11,20180601,2972.5,,,
8,0,Buy,5,20180601,4,16.85,178,0,601688.SH,2.01806E+11,20180601,2999.3,,,
9,0,Buy,3,20180601,5,16.79,178,0,601211.SH,2.01806E+11,20180601,2988.62,,,
10,0,Buy,2,20180604,1,3.6,833,0,601288.SH,2.01806E+11,20180604,2998.8,,,
11,0,Buy,4,20180605,1,31,96,0,600887.SH,2.01806E+11,20180605,2976,,,
12,0,Buy,2,20180605,2,13.28,225,0,600048.SH,2.01806E+11,20180605,2988,,,
13,0,Buy,1,20180605,3,6.66,425,0,600028.SH,2.01806E+11,20180605,2830.5,,,
14,0,Buy,3,20180605,4,27.88,107,0,600340.SH,2.01806E+11,20180605,2983.16,44559.08,440.92,
15,0,Buy,0,20180605,0,0,170,60000,600028.SH,0,20180605,,,,
16,0,Sell,0,20180605,0,1,170,60000,600028.SH,0,20180605,,,,
17,0,Sell,4,20180606,1,6,479,0,601985.SH,2.01806E+11,20180606,2874,,,
18,0,Sell,2,20180606,2,10.26,289,0,600029.SH,2.01806E+11,20180606,2965.14,,,
19,0,Sell,1,20180606,3,8.79,350,0,600019.SH,2.01806E+11,20180606,3076.5,,,
20,0,Sell,3,20180606,4,15.99,186,0,601166.SH,2.01806E+11,20180606,2974.14,,,
21,0,Sell,6,20180607,1,7.31,427,0,603993.SH,2.01806E+11,20180607,3121.37,29707.93,15452.07,45160
22,0,Buy,4,20180607,2,6.02,498,0,601328.SH,2.01806E+11,20180607,2997.96,,,
23,0,Buy,2,20180607,3,12.01,249,0,600111.SH,2.01806E+11,20180607,2990.49,35696.38,9463.62,45160
24,0,Sell,1,20180607,4,35.99,82,0,600104.SH,2.01806E+11,20180607,2951.18,,,
32,0,Sell,4,20180608,8,28.17,105,0,600547.SH,2.01806E+11,20180608,2957.85,,,
34,0,Sell,6,20180608,10,30.77,96,0,600887.SH,2.01806E+11,20180608,2953.92,26771.13,18326.57,45097.7
25,0,Buy,9,20180608,1,15.98,187,0,601166.SH,2.01806E+11,20180608,2988.26,,,
26,0,Buy,3,20180608,2,19,157,0,600030.SH,2.01806E+11,20180608,2983,,,
27,0,Buy,8,20180608,3,21.29,140,0,601088.SH,2.01806E+11,20180608,2980.6,,,
28,0,Buy,12,20180608,4,5.68,527,0,601398.SH,2.01806E+11,20180608,2993.36,,,
29,0,Buy,2,20180608,5,10.6,279,0,600029.SH,2.01806E+11,20180608,2957.4,,,
30,0,Buy,5,20180608,6,6.73,445,0,600606.SH,2.01806E+11,20180608,2994.85,,,
31,0,Buy,7,20180608,7,8.74,343,0,601006.SH,2.01806E+11,20180608,2997.82,,,
33,0,Buy,10,20180608,9,9.17,326,0,601186.SH,2.01806E+11,20180608,2989.42,,,
35,0,Buy,1,20180608,11,8.76,326,0,600019.SH,2.01806E+11,20180608,2855.76,,,
36,0,Buy,0,20180608,0,0,146.7,60000,600019.SH,0,20180608,,,,
37,0,Sell,0,20180608,0,1,146.7,60000,600019.SH,0,20180608,,,,
38,0,Buy,0,20180608,0,0,90,60000,600048.SH,0,20180608,,,,
39,0,Sell,0,20180608,0,1,90,60000,600048.SH,0,20180608,,,,
40,0,Sell,1,20180611,1,3.59,833,0,601288.SH,2.01806E+11,20180611,,,,
41,0,Sell,2,20180612,1,13.61,225,0,600048.SH,2.01806E+11,20180612,,,,
42,0,Sell,1,20180612,2,6.34,425,0,600028.SH,2.01806E+11,20180612,,,,
43,0,Sell,3,20180612,3,28.38,107,0,600340.SH,2.01806E+11,20180612,,,,
44,0,Sell,4,20180613,1,15.88,187,0,601166.SH,2.01806E+11,20180613,,,,
45,0,Buy,2,20180613,2,799.19,3,0,600519.SH,2.01806E+11,20180613,,,,
46,0,Sell,1,20180613,3,11.91,249,0,600111.SH,2.01806E+11,20180613,,,,
47,0,Buy,5,20180613,4,8.16,367,0,601668.SH,2.01806E+11,20180613,,,,
48,0,Sell,3,20180613,5,9.06,343,0,601006.SH,2.01806E+11,20180613,,,,
49,0,Buy,4,20180614,1,3.59,835,0,601288.SH,2.01806E+11,20180614,,,,
50,0,Sell,2,20180614,2,10.68,279,0,600029.SH,2.01806E+11,20180614,,,,
51,0,Sell,1,20180614,3,8.92,326,0,600019.SH,2.01806E+11,20180614,,,,
52,0,Sell,5,20180614,4,5.96,498,0,601328.SH,2.01806E+11,20180614,,,,
53,0,Buy,3,20180614,5,10.67,281,0,600958.SH,2.01806E+11,20180614,,,,
54,0,Buy,9,20180615,1,5.97,502,0,601328.SH,2.01806E+11,20180615,,,,
55,0,Sell,8,20180615,2,16.57,178,0,601211.SH,2.01806E+11,20180615,,,,
56,0,Sell,12,20180615,3,8.13,367,0,601668.SH,2.01806E+11,20180615,,,,
57,0,Buy,2,20180615,4,12.26,244,0,600111.SH,2.01806E+11,20180615,,,,
